MFI ID,MFI Name,MFI Full Name,Country,Region,Last known legal status,Last known profit status
100372,1st Valley Bank,"1st Valley Bank (formerly Rural Bank of Kapatagan Valley, Inc).",Philippines,East Asia and the Pacific,Rural Bank,Profit
100256,2CM,Cercle Communautaire Mieux,Benin,Africa,NGO,Non-profit
101922,3A Entreprises,3A Entreprises,Guinea,Africa,NBFI,Profit
170594,3PAD Fund Bac Kan,3PAD Fund for Bac Kan's Women,Vietnam,East Asia and the Pacific,Other,Non-profit
104283,A3C,Association des CVECA et CECA du Centre,Cameroon,Africa,NGO,Non-profit
100060,AAMBA,Amber Ashrayee Mahila Benefit Association,India,South Asia,NGO,Non-profit
159491,AAR Credit Services,AAR Credit Services,Kenya,Africa,NBFI,Profit
134380,AB Bank Rwanda,AB Bank Rwanda,Rwanda,Africa,Bank,Unknown
152760,AB Bank Zambia,AB Bank Zambia Limited,Zambia,Africa,Bank,Profit
104165,AB MfB,AB Microfinance Bank Nigeria,Nigeria,Africa,Bank,Profit
100335,ABA,Alexandria Business Association,Egypt,Middle East and North Africa,NGO,Non-profit
169656,Abamuhoza SACCO,Abamuhoza SACCO,Rwanda,Africa,Credit Union / Cooperative,Unknown
102942,ABC Capital,ABC Capital S.A. Institución de Banca Múltiple,Mexico,Latin America and The Caribbean,Bank,Profit
101196,ABCRDM,All Backward Class Relief and Development Mission,India,South Asia,NGO,Non-profit
128991,ABF,Association Base Fandima,Burkina Faso,Africa,NGO,Non-profit
101810,ABIDJAN CREDIT,ABIDJAN CREDIT,Cote d'Ivoire (Ivory Coast),Africa,Credit Union / Cooperative,Non-profit
100889,ABIL,African Bank Investments Ltd.,South Africa,Africa,Bank,Unknown
159494,Abrasa,Abrasa,Philippines,East Asia and the Pacific,NGO,Unknown
101109,ABS-CBN,"ABS-CBN Bayan Foundation, Inc.",Philippines,East Asia and the Pacific,NGO,Non-profit
101243,ABWA,Assiut Business Women's Association,Egypt,Middle East and North Africa,NGO,Non-profit
101913,Abyan,Abyan Program,Yemen,Middle East and North Africa,NGO,Non-profit
102518,Abzal Kredit,Abzal Kredit Microfinance Organization,Kazakhstan,Eastern Europe and Central Asia,NBFI,Profit
100567,ACAD,ACAD Finance,Palestine,Middle East and North Africa,NBFI,Profit
100429,ACBA,ACBA Credit Agricole Bank,Armenia,Eastern Europe and Central Asia,Bank,Profit
100245,ACCDC,All Ceylon Community Development Council,Sri Lanka,South Asia,NGO,Non-profit
102993,AccèsBanque Madagascar,AccèsBanque Madagascar,Madagascar,Africa,Bank,Profit
136283,ACCESS,Access Financial Services Ltd.,Jamaica,Latin America and The Caribbean,NBFI,Profit
100707,AccessBank,AccessBank,Azerbaijan,Eastern Europe and Central Asia,Bank,Profit
105701,AccessBank - LBR,AccessBank Liberia,Liberia,Africa,Bank,Unknown
104408,AccessBank - TZA,AccessBank Tanzania,Tanzania,Africa,Bank,Unknown
104516,AccessBank Tajikistan,AccessBank Tajikistan JSC,Tajikistan,Eastern Europe and Central Asia,Bank,Profit
132941,ACCION MCC,ACCION Microcredit Company Ltd.,"China, People's Republic of",East Asia and the Pacific,NBFI,Unknown
101928,Accion MfB Nigeria,Accion Microfinance Bank Ltd,Nigeria,Africa,Bank,Profit
125819,ACCION Microfinanças,ACCION Microfinanças Sociedade de Crédito ao Microempreendedor e á Empresa de Pequeno Porte S.A.,Brazil,Latin America and The Caribbean,NBFI,Profit
152705,ACDF,African Community Development Foundation,Kenya,Africa,NGO,Unknown
145721,ACE,Anh Chi Em,Vietnam,East Asia and the Pacific,NGO,Unknown
129676,ACEP Burkina SA,Agence de Crédit pour l’Entreprise Privé du Burkina,Burkina Faso,Africa,NBFI,Unknown
100763,ACEP Cameroon,Agence de Crédit pour l'Entreprise Privée Cameroun,Cameroon,Africa,NBFI,Profit
116476,ACEP Madagascar SA,ACEP Madagascar SA,Madagascar,Africa,NBFI,Unknown
100451,ACEP Senegal,Alliance de Credit et d'Epargne pour la Production,Senegal,Africa,Credit Union / Cooperative,Non-profit
100188,ACF,Asian Credit Fund,Kazakhstan,Eastern Europe and Central Asia,NBFI,Profit
101889,ACFB,Association des Caisses de Financement à la Base,Benin,Africa,NGO,Non-profit
102970,ACFIME,ACFIME-CREDO,Burkina Faso,Africa,NGO,Non-profit
100303,ACLEDA,ACLEDA Bank Plc.,Cambodia,East Asia and the Pacific,Bank,Profit
104178,ACLEDA Lao,ACLEDA Bank Lao Ltd,Laos,East Asia and the Pacific,Bank,Profit
